Theorist,Ground Truth,Correct,Total
'BMS UniformNew','Steven\'s Power Law',18,20
'BMS Prior Williams2023SUPERCognitivePsychologyNew','Steven\'s Power Law',10,20
'BMS Prior Williams2023SUPERCognitiveScienceNew','Steven\'s Power Law',18,20
'BMS Prior Williams2023SUPERMaterialsScienceNew','Steven\'s Power Law',15,20
'BMS Prior Williams2023SUPERNeuroscienceNew','Steven\'s Power Law',18,20
'BMS Average','Steven\'s Power Law',18,20
'BMS UniformNew','Weber Fechner Law',20,20
'BMS Prior Williams2023SUPERCognitivePsychologyNew','Weber Fechner Law',19,20
'BMS Prior Williams2023SUPERCognitiveScienceNew','Weber Fechner Law',19,20
'BMS Prior Williams2023SUPERMaterialsScienceNew','Weber Fechner Law',14,20
'BMS Prior Williams2023SUPERNeuroscienceNew','Weber Fechner Law',16,20
'BMS Average','Weber Fechner Law',17,20
'BMS UniformNew','Weber Fechner Law',20,20
'BMS Prior Williams2023SUPERCognitivePsychologyNew','Weber Fechner Law',19,20
'BMS Prior Williams2023SUPERCognitiveScienceNew','Weber Fechner Law',19,20
'BMS Prior Williams2023SUPERMaterialsScienceNew','Weber Fechner Law',14,20
'BMS Prior Williams2023SUPERNeuroscienceNew','Weber Fechner Law',16,20
'BMS Average','Weber Fechner Law'
'BMS UniformNew','Weber Fechner Law'
'BMS Prior Williams2023SUPERCognitivePsychologyNew','Weber Fechner Law'
'BMS Prior Williams2023SUPERCognitiveScienceNew','Weber Fechner Law'
'BMS Prior Williams2023SUPERMaterialsScienceNew','Weber Fechner Law'
'BMS Prior Williams2023SUPERNeuroscienceNew','Weber Fechner Law'
'BMS Average','Weber Fechner Law'
