Prior,Ground Truth,Correct,Total
BMS Prior Williams2023SUPERUniformNew,Steven’s Power Law,15,15
BMS Prior Williams2023SUPERCognitivePsychologyNew,Steven’s Power Law,15,15
BMS Prior Williams2023SUPERCognitiveScienceNew,Steven’s Power Law,15,15
BMS Prior Williams2023SUPERMaterialsScienceNew,Steven’s Power Law,15,15
BMS Prior Williams2023SUPERNeuroscienceNew,Steven’s Power Law,15,15
BMS Prior Williams2023SUPERUniformNew,Weber-Fechner Law,14,15
BMS Prior Williams2023SUPERCognitivePsychologyNew,Weber-Fechner Law,12,15
BMS Prior Williams2023SUPERCognitiveScienceNew,Weber-Fechner Law,12,15
BMS Prior Williams2023SUPERMaterialsScienceNew,Weber-Fechner Law,8,15
BMS Prior Williams2023SUPERNeuroscienceNew,Weber-Fechner Law,4,15
BMS Prior Williams2023SUPERUniformNew,Luce-Choice-Ratio,13,15
BMS Prior Williams2023SUPERCognitivePsychologyNew,Luce-Choice-Ratio,9,15
BMS Prior Williams2023SUPERCognitiveScienceNew,Luce-Choice-Ratio,13,15
BMS Prior Williams2023SUPERMaterialsScienceNew,Luce-Choice-Ratio,10,15
BMS Prior Williams2023SUPERNeuroscienceNew,Luce-Choice-Ratio,9,15
BMS Prior Williams2023SUPERUniformNew,Exponential Learning,2,15
BMS Prior Williams2023SUPERCognitivePsychologyNew,Exponential Learning,5,15
BMS Prior Williams2023SUPERCognitiveScienceNew,Exponential Learning,10,15
BMS Prior Williams2023SUPERMaterialsScienceNew,Exponential Learning,6,15
BMS Prior Williams2023SUPERNeuroscienceNew,Exponential Learning,8,15
